id,name,type,desc,atk,def,level,race,attribute,archetype,image_url,image_path
30603688,Apprentice Illusion Magician,Effect Monster,"You can Special Summon this card (from your hand) by discarding 1 card. If this card is Normal or Special Summoned: You can add 1 ""Dark Magician"" from your Deck to your hand. During damage calculation, if your other DARK Spellcaster monster battles an opponent's monster (Quick Effect): You can send this card from your hand or face-up field to the GY; that monster you control gains 2000 ATK/DEF during that damage calculation only.",2000,1700,6,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/30603688.jpg,GAN_experiments/training_magician/darkmagician/30603688.jpg
60948488,Chronicle Magician,Effect Monster,"If a monster(s) with 2500 original ATK or DEF is Normal or Special Summoned to your field (except during the Damage Step): You can Special Summon this card from your hand in Defense Position. If this card is Special Summoned: You can target 1 ""Dark Magician"" or ""Blue-Eyes White Dragon"" in your Monster Zone; it gains 2500 ATK/DEF until the end of this turn. You can only use each effect of ""Chronicle Magician"" once per turn.",2500,2500,7,Spellcaster,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/60948488.jpg,GAN_experiments/training_magician/darkmagician/60948488.jpg
54878729,Chronicle Sorceress,Effect Monster,"You can activate 1 of these effects based on the Attributes in your GY;
● LIGHT: Send 1 ""Blue-Eyes White Dragon"" or 1 card that mentions it from your Deck to the GY, except ""Chronicle Sorceress"".
● DARK: Send 1 ""Dark Magician"" or 1 card that mentions it from your Deck to the GY, except ""Chronicle Sorceress"".
You can only use this effect of ""Chronicle Sorceress"" once per turn.",1250,1250,4,Spellcaster,DARK,Unknown,https://images.ygoprodeck.com/images/cards_cropped/54878729.jpg,GAN_experiments/training_magician/darkmagician/54878729.jpg
73452089,Dark Cavalry,Fusion Monster,"""Dark Magician"" + 1 Warrior monster
Gains 100 ATK for each Spell/Trap on the field and in the GYs. If this card attacks a Defense Position monster, inflict piercing battle damage. When a card or effect is activated that targets a card on the field (Quick Effect): You can discard 1 card; negate the activation, and if you do, destroy it.",2800,2300,8,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/73452089.jpg,GAN_experiments/training_magician/darkmagician/73452089.jpg
29436665,Dark Eradicator Warlock,Effect Monster,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Dark Magician"", and cannot be Special Summoned by other ways. Each time a Normal Spell Card is activated, inflict 1000 damage to your opponent immediately after it resolves.",2500,2100,7,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/29436665.jpg,GAN_experiments/training_magician/darkmagician/29436665.jpg
13722870,Dark Flare Knight,Fusion Monster,"""Dark Magician"" + ""Flame Swordsman""
You take no Battle Damage from battles involving this card. When this card is destroyed by battle and sent to the Graveyard: Special Summon 1 ""Mirage Knight"" from your hand or Deck.",2200,800,6,Warrior,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/13722870.jpg,GAN_experiments/training_magician/darkmagician/13722870.jpg
46986414,Dark Magician,Normal Monster,''The ultimate wizard in terms of attack and defense.'',2500,2100,7,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/46986414.jpg,GAN_experiments/training_magician/darkmagician/46986414.jpg
46986414,Dark Magician,Normal Monster,''The ultimate wizard in terms of attack and defense.'',2500,2100,7,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/46986415.jpg,GAN_experiments/training_magician/darkmagician/46986415.jpg
46986414,Dark Magician,Normal Monster,''The ultimate wizard in terms of attack and defense.'',2500,2100,7,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/46986416.jpg,GAN_experiments/training_magician/darkmagician/46986416.jpg
46986414,Dark Magician,Normal Monster,''The ultimate wizard in terms of attack and defense.'',2500,2100,7,Spellcaster,DARK,Dark Magician,https://images.ygoprodeck.com/images/cards_cropped/46986417.jpg,GAN_experiments/training_magician/darkmagician/46986417.jpg
