Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
48519867$Adamancipator Seeker$$EARTH$[Rock/effect]$$$$$2$1200$1000$$$$If you control an "Adamancipator" monster, except "Adamancipator Seeker": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of "Adamancipator Seeker" once per turn.$$$$$
85914562$Adamancipator Researcher$$EARTH$[Rock/effect]$$$$$2$100$2100$$$$If you control a Rock monster, except "Adamancipator Researcher": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of "Adamancipator Researcher" once per turn.$$$$$
11302671$Adamancipator Analyzer$$EARTH$[Rock/effect]$$$$$4$1500$700$$$$If only your opponent controls a monster: You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of "Adamancipator Analyzer" once per turn.$$$$$
47897376$Adamancipator Crystal - Leonite$$FIRE$[Rock/effect]$$$$$4$0$2200$$$$If this card is Special Summoned by the effect of an "Adamancipator" card: You can place 1 "Adamancipator" card from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 FIRE Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of "Adamancipator Crystal - Leonite" once per turn.$$$$$
74891384$Adamancipator Crystal - Raptite$$WIND$[Rock/effect]$$$$$4$0$2200$$$$If this card is Special Summoned by the effect of an "Adamancipator" card: You can place 1 Rock monster from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 WIND Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of "Adamancipator Crystal - Raptite" once per turn.$$$$$
10286023$Adamancipator Crystal - Dragite$$WATER$[Rock/effect]$$$$$4$0$2200$$$$If this card is Special Summoned by the effect of an "Adamancipator" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of "Adamancipator Crystal - Dragite" once per turn.$$$$$
47674738$Adamancipator Risen - Leonite$$FIRE$[Rock/synchro]$$$$$6$2400$2200$$1 Tuner + 1+ non-Tuner monsters$$During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can add 1 excavated "Adamancipator" card to your hand, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a FIRE monster is in your GY (Quick Effect): You can target 1 Rock monster in your GY; Special Summon it. You can only use each effect of "Adamancipator Risen - Leonite" once per turn.$$$$$
73079836$Adamancipator Risen - Raptite$$WIND$[Rock/synchro]$$$$$6$2200$2800$$1 Tuner + 1+ non-Tuner monsters$$During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Rock monster in Defense Position, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a WIND monster is in your GY (Quick Effect): You can target 1 card in your opponent's GY; banish it. You can only use each effect of "Adamancipator Risen - Raptite" once per turn.$$$$$
9464441$Adamancipator Risen - Dragite$$WATER$[Rock/synchro]$$$$$8$3000$2200$$1 Tuner + 1+ non-Tuner monsters$$During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can return cards your opponent controls to the hand, up to the number of excavated Rock monsters, also place the excavated cards on the bottom of your Deck in any order. When your opponent activates a Spell/Trap Card or effect, while a WATER monster is in your GY (Quick Effect): You can negate the activation, and if you do, destroy it. You can only use each effect of "Adamancipator Risen - Dragite" once per turn.$$$$$
46552140$Adamancipator Laputite$$SPELL$$$$$$$$$Field$$$All Rock monsters you control gain 500 ATK/DEF. Once per turn, during your Main Phase: You can take up to 5 "Adamancipator" cards from your Deck and place them on top of your Deck in any order.$$$$$
72957245$Adamancipator Signs$$SPELL$$$$$$$$$Normal$$$Target 1 Rock monster in your GY; Special Summon it in Defense Position, then, if you Special Summoned an "Adamancipator" monster by this effect, you can take 1 Level 4 or lower Rock monster from your Deck and place it on top of your Deck.$$$$$
9341993$Adamancipator Relief$$TRAP$$$$$$$$$Normal$$$Tribute any number of "Adamancipator" monsters, then target cards on the field equal to that number +1; destroy them.$$$$$
45730592$Adamancipator Resonance$$TRAP$$$$$$$$$Counter$$$When a monster effect is activated, while you control an "Adamancipator" Synchro Monster: Negate the activation, and if you do, destroy it.$$$$$
71734607$Rikka Petal$$WATER$[Plant/effect]$$$$$1$0$0$$$$During your Main Phase: You can take 1 "Rikka" monster from your Deck, except "Rikka Petal", and either add it to your hand or send it to the GY, also you cannot Special Summon for the rest of this turn, except Plant monsters. During your opponent's End Phase, while this card is in your GY, if you control no monsters or all monsters you control are Plant monsters: You can Special Summon this card. You can only use each effect of "Rikka Petal" once per turn.$$$$$
8129306$Primula the Rikka Fairy$$WATER$[Plant/effect]$$$$$4$800$1800$$$$If a monster you control is Tributed (except during the Damage Step): You can Special Summon this card from your hand in Defense Position. You can target up to 2 Plant monsters you control; increase their Level(s) by 2 until the end of this turn. You can only use each effect of "Primula the Rikka Fairy" once per turn.$$$$$
