Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
30012506$A-Assault Core$$LIGHT$[Machine/effect]$$$$$4$1900$200$$$$Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.$$$$$
77411244$B-Buster Drake$$LIGHT$[Machine/effect]$$$$$4$1500$1800$$$$Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Spell effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 Union monster from your Deck to your hand.$$$$$
3405259$C-Crush Wyvern$$LIGHT$[Machine/effect]$$$$$4$1200$2000$$$$Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's Trap effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can Special Summon 1 Union monster from your hand.$$$$$
39890958$Heavy Mech Support Armor$$LIGHT$[Machine/effect]$$$$$3$500$500$$$$If this card is Normal Summoned: You can target 1 Union monster in your GY; Special Summon it. Once per turn, you can either: Target 1 Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. Your opponent cannot target a monster equipped with this card with card effects, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.$$$$$
62651957$X-Head Cannon$$LIGHT$[Machine/normal]$$$$$4$1800$1500$$$$A monster with a mighty cannon barrel, it is able to integrate its attacks. It attacks in many ways by combining and separating with other monsters.$$$$$
65622692$Y-Dragon Head$$LIGHT$[Machine/effect]$$$$$4$1500$1600$$$$Once per turn, you can either: Target 1 "X-Head Cannon" you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card gains 400 ATK/DEF, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.$$$$$
64500000$Z-Metal Tank$$LIGHT$[Machine/effect]$$$$$4$1500$1300$$$$Once per turn, you can either: Target 1 "X-Head Cannon" or "Y-Dragon Head" you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card gains 600 ATK/DEF, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.$$$$$
23265594$Heavy Mech Support Platform$$DARK$[Machine/effect]$$$$$3$500$500$$$$Once per turn, you can either: Target 1 Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card gains 500 ATK/DEF, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.$$$$$
89631139$Blue-Eyes White Dragon$$LIGHT$[Dragon/normal]$$$$$8$3000$2500$$$$This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.$$$$$
52824910$Kaiser Glider$$LIGHT$[Dragon/effect]$$$$$6$2400$2200$$$$Cannot be destroyed by battle with a monster that has the same ATK. If this card is destroyed and sent to the Graveyard: Target 1 monster on the field; return that target to the hand.$$$$$
17985575$Lord of D.$$DARK$[Spellcaster/effect]$$$$$4$1200$1100$$$$Neither player can target Dragon monsters on the field with card effects.$$$$$
53839837$Vampire Lord$$DARK$[Zombie/effect]$$$$$5$2000$1500$$$$If this card inflicts battle damage to your opponent: Declare 1 type of card (Monster, Spell, or Trap); your opponent sends 1 card of that type from their Deck to the GY. Once per turn, during your next Standby Phase after this card in your possession was destroyed and sent to your GY by an opponent's card effect: Special Summon this card from the GY.$$$$$
76909279$Enraged Battle Ox$$EARTH$[Beast-Warrior/effect]$$$$$4$1700$1000$$$$If a Beast, Beast-Warrior, or Winged Beast-Type monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent.$$$$$
81985784$Des Feral Imp$$DARK$[Reptile/effect]$$$$$4$1600$1800$$$$FLIP: Target 1 card in your Graveyard; shuffle that target into the Deck.$$$$$
52624755$Peten the Dark Clown$$DARK$[Spellcaster/effect]$$$$$3$500$1200$$$$When this card is sent to your Graveyard: You can banish this card from your Graveyard; Special Summon 1 "Peten the Dark Clown" from your hand or Deck.$$$$$
25206027$Interplanetarypurplythorny Dragon$$DARK$[Dragon/effect]$$$$$5$2200$1100$$$$If a monster you control is destroyed by battle or card effect and sent to the Graveyard: You can Special Summon this card from your hand.$$$$$
61802346$Blizzard Dragon$$WATER$[Dragon/effect]$$$$$4$1800$1000$$$$Once per turn: You can target 1 monster your opponent controls; it cannot change its battle position or declare an attack until the end of your opponent's next turn.$$$$$
66752837$Keeper of the Shrine$$DARK$[Dragon/effect]$$$$$4$0$2100$$$$This card can be treated as 2 Tributes for the Tribute Summon of a Dragon monster. While this card is in your hand or GY, if a face-up Dragon monster on the field, except "Keeper of the Shrine", is sent to the GY by a card effect or because it was destroyed by battle: You can Special Summon this card, then, if that monster sent to the GY is a Normal Monster, you can add 1 Dragon Normal Monster from your GY to your hand. You can only use this effect of "Keeper of the Shrine" once per turn.$$$$$
11091375$Luster Dragon$$WIND$[Dragon/normal]$$$$$4$1900$1600$$$$A very beautiful dragon covered with sapphire. It does not like fights, but has incredibly high attack power.$$$$$
66399653$Union Hangar$$SPELL$$$$$$$$$Field$$$When this card is activated: You can add 1 LIGHT Machine Union monster from your Deck to your hand. Once per turn, if a LIGHT Machine Union monster(s) is Normal or Special Summoned to your field (except during the Damage Step): You can target 1 of those monsters; equip 1 appropriate LIGHT Machine Union monster, with a different name, from your Deck to that monster, but the Union monster you equipped cannot be Special Summoned this turn. You can only activate 1 "Union Hangar" per turn.$$$$$
2783661$Majesty with Eyes of Blue$$SPELL$$$$$$$$$Quick-Play$$$Send 1 "Blue-Eyes" monster from your hand or Deck to the GY, then target 1 face-up monster on the field; it cannot attack while it is face-up on the field. You can only activate 1 "Majesty with Eyes of Blue" per turn.$$$$$
17655904$Burst Stream of Destruction$$SPELL$$$$$$$$$Normal$$$If you control "Blue-Eyes White Dragon": Destroy all monsters your opponent controls. "Blue-Eyes White Dragon" you control cannot attack the turn you activate this card.$$$$$
43973174$The Flute of Summoning Dragon$$SPELL$$$$$$$$$Normal$$$Special Summon up to 2 Dragon monsters from your hand. "Lord of D." must be on the field to activate and to resolve this effect.$$$$$
42534368$Silent Doom$$SPELL$$$$$$$$$Normal$$$Target 1 Normal Monster in your Graveyard; Special Summon it in face-up Defense Position, but it cannot attack.$$$$$
55713623$Shrink$$SPELL$$$$$$$$$Quick-Play$$$Target 1 face-up monster on the field; its original ATK becomes halved until the end of this turn.$$$$$
98045062$Enemy Controller$$SPELL$$$$$$$$$Quick-Play$$$Activate 1 of these effects.
● Target 1 face-up monster your opponent controls; change that target's battle position.
● Tribute 1 monster, then target 1 face-up monster your opponent controls; take control of that target until the End Phase.$$$$$
22046459$Megamorph$$SPELL$$$$$$$$$Equip$$$While your LP is lower than your opponent's, the equipped monster's ATK becomes double its original ATK. While your LP is higher, the equipped monster's ATK becomes half its original ATK.$$$$$
23171610$Limiter Removal$$SPELL$$$$$$$$$Quick-Play$$$Double the ATK of all Machine monsters you currently control, until the end of this turn. During the End Phase of this turn, destroy those monsters.$$$$$
46181000$Frontline Base$$SPELL$$$$$$$$$Continuous$$$Once per turn: You can Special Summon 1 Level 4 or lower Union monster from your hand.$$$$$
39778366$Union Scramble$$TRAP$$$$$$$$$Normal$$$Target up to 3 of your banished LIGHT Machine-Type Normal Monsters and/or LIGHT Machine-Type Union monsters; Special Summon them. During either player's turn, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard, then target 1 of your banished LIGHT Machine-Type Normal Monsters or LIGHT Machine-Type Union monsters; return it to the hand. You can only activate 1 "Union Scramble" per turn.$$$$$
57728570$Crush Card Virus$$TRAP$$$$$$$$$Normal$$$Tribute 1 DARK monster with 1000 or less ATK; your opponent takes no damage until the end of the next turn after this card resolves, also, you look at your opponent's hand and all monsters they control, and if you do, destroy the monsters among them with 1500 or more ATK, then your opponent can destroy up to 3 monsters with 1500 or more ATK in their Deck.$$$$$
14315573$Negate Attack$$TRAP$$$$$$$$$Counter$$$When an opponent's monster declares an attack: Target the attacking monster; negate the attack, then end the Battle Phase.$$$$$
83555666$Ring of Destruction$$TRAP$$$$$$$$$Normal$$$During your opponent's turn: Target 1 face-up monster your opponent controls whose ATK is less than or equal to their LP; destroy that face-up monster, and if you do, take damage equal to its original ATK, then inflict damage to your opponent, equal to the damage you took. You can only activate 1 "Ring of Destruction" per turn.$$$$$
36261276$Interdimensional Matter Transporter$$TRAP$$$$$$$$$Normal$$$Target 1 face-up monster you control; banish that target until the End Phase.$$$$$
86871614$Cloning$$TRAP$$$$$$$$$Normal$$$When your opponent Normal or Flip Summons a monster that has a Level: Target that face-up monster; Special Summon 1 "Clone Token", with the same original Type, Attribute, Level, ATK, and DEF as that target. When that target is destroyed and sent to the GY, destroy this Token.$$$$$
52503575$Final Attack Orders$$TRAP$$$$$$$$$Continuous$$$All face-up monsters on the field are changed to Attack Position and their battle positions cannot be changed.$$$$$
97077563$Call of the Haunted$$TRAP$$$$$$$$$Continuous$$$Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.$$$$$
91597389$Roll Out!$$TRAP$$$$$$$$$Normal$$$Target 1 Union monster in your Graveyard; equip that target to a monster you control that would be an appropriate target for that Union monster's effect.$$$$$
50078509$Fiendish Chain$$TRAP$$$$$$$$$Continuous$$$Activate this card by targeting 1 Effect Monster on the field; negate the effects of that face-up monster while it is on the field, also that face-up monster cannot attack. When it is destroyed, destroy this card.$$$$$
65172015$A-to-Z-Dragon Buster Cannon$$LIGHT$[Machine/fusion]$$$$$10$4000$4000$$"ABC-Dragon Buster" + "XYZ-Dragon Cannon"$$Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use "Polymerization".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished "ABC-Dragon Buster", and "XYZ-Dragon Cannon"; Special Summon them.$$$$$
1561110$ABC-Dragon Buster$$LIGHT$[Machine/fusion]$$$$$8$3000$2800$$"A-Assault Core" + "B-Buster Drake" + "C-Crush Wyvern"$$Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use "Polymerization".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.$$$$$
91998119$XYZ-Dragon Cannon$$LIGHT$[Machine/fusion]$$$$$8$2800$2600$$"X-Head Cannon" + "Y-Dragon Head" + "Z-Metal Tank"$$Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use "Polymerization".) Cannot be Special Summoned from the GY. You can discard 1 card, then target 1 card your opponent controls; destroy that target.$$$$$
2111707$XY-Dragon Cannon$$LIGHT$[Machine/fusion]$$$$$6$2200$1900$$"X-Head Cannon" + "Y-Dragon Head"$$Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use "Polymerization".) Cannot be Special Summoned from the Graveyard. You can discard 1 card, then target 1 face-up Spell/Trap Card your opponent controls; destroy that target.$$$$$
99724761$XZ-Tank Cannon$$LIGHT$[Machine/fusion]$$$$$6$2400$2100$$"X-Head Cannon" + "Z-Metal Tank"$$Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use "Polymerization".) Cannot be Special Summoned from the Graveyard. You can discard 1 card, then target 1 face-down Spell/Trap Card your opponent controls; destroy that target.$$$$$
