Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
90432163$The Phantom Knights of Ancient Cloak$$DARK$[Warrior/effect]$$$$$3$800$1000$$$$If this card is in Attack Position: You can target 1 DARK monster on the field; change this card to Defense Position, and if you do, that monster gains 800 ATK/DEF until the end of your opponent's turn. You can banish this card from your GY; add 1 "The Phantom Knights" card from your Deck to your hand, except "The Phantom Knights of Ancient Cloak". You can only use each effect of "The Phantom Knights of Ancient Cloak" once per turn.$$$$$
36426778$The Phantom Knights of Silent Boots$$DARK$[Warrior/effect]$$$$$3$200$1200$$$$If you control a "The Phantom Knights" monster, you can Special Summon this card (from your hand). You can only Special Summon "The Phantom Knights of Silent Boots" once per turn this way. You can banish this card from your GY; add 1 "Phantom Knights" Spell/Trap from your Deck to your hand. You can only use this effect of "The Phantom Knights of Silent Boots" once per turn.$$$$$
63821877$The Phantom Knights of Ragged Gloves$$DARK$[Warrior/effect]$$$$$3$1000$500$$A DARK Xyz Monster that was Summoned using this card on the field as Xyz Material gains this effect.$$● If it is Xyz Summoned: It gains 1000 ATK.$$$$$
99315585$The Phantom Knights of Cloven Helm$$DARK$[Warrior/effect]$$$$$4$1500$500$$$$If a "Phantom Knights" card(s) is sent to your GY: This card gains 500 ATK. You can banish this card from your GY; during the End Phase of this turn, add 1 "Phantom Knights" card from your GY to your hand. You can only use each effect of "The Phantom Knights of Cloven Helm" once per turn.$$$$$
36704180$The Phantom Knights of Fragile Armor$$DARK$[Warrior/effect]$$$$$4$1000$2000$$$$If a face-up "The Phantom Knights" monster(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. You can banish this card from your GY and send 1 "Phantom Knights" card from your hand to the GY; draw 1 card. You can only use each effect of "The Phantom Knights of Fragile Armor" once per turn.$$$$$
62709239$The Phantom Knights of Break Sword$$DARK$[Warrior/xyz]$$$$$3$2000$1000$$2 Level 3 monsters$$Once per turn: You can detach 1 material from this card, then target 1 card you control and 1 card your opponent controls; destroy them. If this Xyz Summoned card is destroyed: You can target 2 "The Phantom Knights" monsters with the same Level in your GY; Special Summon them and increase their Levels by 1, also you cannot Special Summon monsters for the rest of this turn, except DARK monsters.$$$$$
16195942$Dark Rebellion Xyz Dragon$$DARK$[Dragon/xyz]$$$$$4$2500$2000$$2 Level 4 monsters$$You can detach 2 materials from this card, then target 1 face-up monster your opponent controls; its ATK becomes half its current ATK, and if it does, this card gains that lost ATK.$$$$$
98153934$Phantom Knights' Spear$$SPELL$$$$$$$$$Continuous$$$Each time your opponent activates a card or effect that targets a "The Phantom Knights" monster(s) you control, inflict 500 damage to your opponent immediately after it resolves. If a DARK monster you control would be destroyed by battle or an opponent's card effect, you can banish this card from your GY instead.$$$$$
25542642$Phantom Knights' Fog Blade$$TRAP$$$$$$$$$Continuous$$$Activate this card by targeting 1 Effect Monster on the field; negate that face-up monster's effects, that face-up monster cannot attack, also monsters cannot target that face-up monster for attacks. When it leaves the field, destroy this card. You can banish this card from your GY, then target 1 "The Phantom Knights" monster in your GY; Special Summon it, but banish it when it leaves the field. You can only use this effect of "Phantom Knights' Fog Blade" once per turn.$$$$$
61936647$Phantom Knights' Sword$$TRAP$$$$$$$$$Continuous$$$Activate this card by targeting 1 face-up monster on the field; it gains 800 ATK, also if that target would be destroyed by battle or card effect, you can destroy this card instead. When it leaves the field, destroy this card. You can banish this card from your GY, then target 1 "The Phantom Knights" monster in your GY; Special Summon it, but banish it when it leaves the field. You can only use this effect of "Phantom Knights' Sword" once per turn.$$$$$
98431356$Phantom Knights' Wing$$TRAP$$$$$$$$$Normal$$$Target 1 face-up monster on the field; it gains 500 ATK, also the first time that target would be destroyed by battle or card effect this turn, it is not destroyed. You can banish this card from your GY, then target 1 "The Phantom Knights" monster in your GY; Special Summon it, but banish it when it leaves the field. You can only use this effect of "Phantom Knights' Wing" once per turn.$$$$$
77462146$The Phantom Knights of Shadow Veil$$TRAP$$$$$$$$$Normal$$$Target 1 face-up monster you control; it gains 300 ATK/DEF. When an opponent's monster declares a direct attack while this card is in your GY: Special Summon this card in Defense Position as a Normal Monster (Warrior/DARK/Level 4/ATK 0/DEF 300). (This card is NOT treated as a Trap.) If Summoned this way, banish this card when it leaves the field.$$$$$
24425055$Booby Trap E$$TRAP$$$$$$$$$Normal$$$Discard 1 card; Set 1 Continuous Trap Card from your hand or Graveyard to your field. That Set card can be activated during this turn.$$$$$
51814159$Raidraptor - Necro Vulture$$DARK$[Winged Beast/effect]$$$$$4$1000$1600$$$$Once per turn: You can Tribute 1 "Raidraptor" monster, then target 1 "Rank-Up-Magic" Spell Card in your Graveyard; add it to your hand, also you cannot Xyz Summon for the rest of this turn, except with the effect of a "Rank-Up-Magic" Spell Card.$$$$$
97219708$Raidraptor - Last Strix$$DARK$[Winged Beast/effect]$$$$$1$100$100$$$$If a "Raidraptor" monster you control battles, while you have any Spell/Trap Cards on your field or in your Graveyard, during damage calculation (in either player's turn): You can Special Summon this card from your hand, then gain 100 LP for each Spell/Trap Card you control and in your Graveyard. You can Tribute this card; your opponent takes no battle damage this turn, also you Special Summon 1 "Raidraptor" Xyz Monster from your Extra Deck in Defense Position, but its effects are negated, also return it to the Extra Deck during the End Phase. You can only use this effect of "Raidraptor - Last Strix" once per turn.$$$$$
53251824$Raidraptor - Vanishing Lanius$$DARK$[Winged Beast/effect]$$$$$4$1300$1600$$$$Once per turn, during your Main Phase, if this card was Normal or Special Summoned this turn: You can Special Summon 1 Level 4 or lower "Raidraptor" monster from your hand.$$$$$
5929801$Raidraptor - Fuzzy Lanius$$DARK$[Winged Beast/effect]$$$$$4$500$1500$$$$If you control a "Raidraptor" monster other than "Raidraptor - Fuzzy Lanius": You can Special Summon this card from your hand. If this card is sent to the Graveyard: You can add 1 "Raidraptor - Fuzzy Lanius" from your Deck to your hand. You can only use each effect of "Raidraptor - Fuzzy Lanius" once per turn. You cannot Special Summon monsters the turn you activate either of this card's effects, except "Raidraptor" monsters.$$$$$
31314549$Raidraptor - Singing Lanius$$DARK$[Winged Beast/effect]$$$$$4$100$100$$$$If you control a face-up Xyz Monster, you can Special Summon this card (from your hand). You can only Special Summon "Raidraptor - Singing Lanius" once per turn this way.$$$$$
60950180$Raidraptor - Sharp Lanius$$DARK$[Winged Beast/effect]$$$$$4$1700$1000$$$$Once per turn, during your Main Phase, if this card was Normal or Special Summoned this turn: You can target 1 face-up Attack Position monster on the field; change it to face-up Defense Position. During your Main Phase 2, if this card attacked this turn: You can target 1 "Raidraptor" monster in your Graveyard; Special Summon it. You can only use this effect of "Raidraptor - Sharp Lanius" once per turn.$$$$$
96345188$Raidraptor - Mimicry Lanius$$DARK$[Winged Beast/effect]$$$$$4$1100$1900$$$$Once per turn, during your Main Phase, if this card was Normal or Special Summoned this turn: You can increase the Levels of all "Raidraptor" monsters you currently control by 1. During your Main Phase, if this card is in the Graveyard because it was sent there this turn: You can banish this card; add 1 "Raidraptor" card from your Deck to your hand, except "Raidraptor - Mimicry Lanius". You can only use this effect of "Raidraptor - Mimicry Lanius" once per turn.$$$$$
83236601$Raidraptor - Tribute Lanius$$DARK$[Winged Beast/effect]$$$$$4$1800$400$$$$During your Main Phase, if this card was Normal or Special Summoned this turn: You can send 1 "Raidraptor" card from your Deck to the Graveyard. During your Main Phase 2, if this card destroyed an opponent's monster by battle this turn: You can add 1 "Rank-Up-Magic" Quick-Play Spell Card from your Deck to your hand, also you cannot Special Summon monsters for the rest of this turn, except "Raidraptor" monsters. You can only use each effect of "Raidraptor - Tribute Lanius" once per turn.$$$$$
73347079$Raidraptor - Force Strix$$DARK$[Winged Beast/xyz]$$$$$4$100$2000$$2 Level 4 monsters$$This card gains 500 ATK and DEF for each Winged Beast monster you control (other than this card). Once per turn: You can detach 1 material from this card; add 1 Level 4 DARK Winged Beast monster from your Deck to your hand.$$$$$
81927732$Raidraptor - Revolution Falcon$$DARK$[Winged Beast/xyz]$$$$$6$2000$3000$$3 Level 6 Winged Beast-Type monsters$$You can detach 1 Xyz Material from this card; this turn, this card can attack all monsters your opponent controls, once each. At the start of the Damage Step, if this card battles an opponent's face-up Special Summoned monster: That monster's ATK and DEF become 0. If this card has a "Raidraptor" Xyz Monster as Xyz Material, it gains this effect.$$$$$
23603403$Raidraptor - Satellite Cannon Falcon$$DARK$[Winged Beast/xyz]$$$$$8$3000$2000$$2 Level 8 Winged Beast monsters$$If this card is Xyz Summoned by using a "Raidraptor" monster as material: You can destroy all Spells and Traps your opponent controls. Your opponent cannot activate cards or effects in response to this effect's activation. Quick Effect: You can detach 1 material from this card, then target 1 face-up monster your opponent controls; it loses 800 ATK for each "Raidraptor" monster in your GY.$$$$$
50692511$Raidraptor - Call$$SPELL$$$$$$$$$Normal$$$Target 1 "Raidraptor" monster you control; Special Summon 1 monster with the same name as that monster on the field from your hand or Deck in Defense Position. You can only activate 1 "Raidraptor - Call" per turn. You cannot Special Summon monsters during the turn you activate this card, except "Raidraptor" monsters.$$$$$
8559793$Raidraptor - Nest$$SPELL$$$$$$$$$Continuous$$$If you control 2 or more "Raidraptor" monsters: You can add 1 "Raidraptor" monster from your Deck or Graveyard to your hand. You can only use this effect of "Raidraptor - Nest" once per turn.$$$$$
86196216$Rank-Up-Magic Doom Double Force$$SPELL$$$$$$$$$Quick-Play$$$Target 1 "Raidraptor" Xyz Monster in your Graveyard that was destroyed by battle and sent there this turn; Special Summon it, then Special Summon from your Extra Deck, 1 Xyz Monster that has twice the Rank of that monster, by using it as the Xyz Material. (This Special Summon is treated as an Xyz Summon.)$$$$$
23581825$Rank-Up-Magic Soul Shave Force$$SPELL$$$$$$$$$Normal$$$Pay half your LP, then target 1 "Raidraptor" Xyz Monster in your Graveyard; Special Summon it, then Special Summon from your Extra Deck, 1 Xyz Monster that is 2 Ranks higher than that monster, by using it as the Xyz Material. (This Special Summon is treated as an Xyz Summon.)$$$$$
21648584$Raidraptor - Readiness$$TRAP$$$$$$$$$Normal$$$This turn, "Raidraptor" monsters you control cannot be destroyed by battle. If you have a "Raidraptor" monster in your Graveyard: You can banish this card from your Graveyard; you take no damage this turn.$$$$$
59975920$Super Quantum Red Layer$$FIRE$[Warrior/effect]$$$$$5$2000$800$$If you control no monsters, you can Special Summon this card (from your hand). You can only use each of the following effects of "Super Quantum Red Layer" once per turn.$$● When this card is Normal or Special Summoned: You can target 1 "Super Quant" card in your GY; add it to your hand.$$$$$
85374678$Super Quantum Green Layer$$WIND$[Spellcaster/effect]$$$$$4$1600$1400$$$$When this card is Normal or Special Summoned: You can Special Summon 1 "Super Quant" monster from your hand. If this card is sent to the Graveyard: You can discard 1 "Super Quant" card; draw 1 card. You can only use each effect of "Super Quantum Green Layer" once per turn.$$$$$
12369277$Super Quantum Blue Layer$$WATER$[Psychic/effect]$$$$$3$1200$2000$$$$When this card is Normal or Special Summoned: You can add 1 "Super Quant" card from your Deck to your hand, except "Super Quantum Blue Layer". If this card is sent to the Graveyard: You can target up to 3 "Super Quant" cards in your Graveyard; shuffle them into the Deck. You can only use each effect of "Super Quantum Blue Layer" once per turn.$$$$$
58753372$Super Quantal Fairy Alphan$$LIGHT$[Fairy/effect]$$$$$1$0$0$$$$Once per turn: You can target 1 "Super Quant" monster you control; all face-up monsters you currently control become that monster's Level. You can Tribute this card; reveal 3 "Super Quant" monsters with different names from your Deck, your opponent randomly picks 1 for you to Special Summon to your field, and you send the rest to the Graveyard. You can only use this effect of "Super Quantal Fairy Alphan" once per turn.$$$$$
85252081$Super Quantal Mech Beast Grampulse$$WATER$[Machine/xyz]$$$$$3$1800$2800$$2 Level 3 monsters$$Cannot attack unless it has Xyz Material. Once per turn: You can detach 1 Xyz Material from this card, then target 1 Spell/Trap Card on the field; destroy it. This effect can be activated during either player's turn, if this card has "Super Quantum Blue Layer" as Xyz Material. Once per turn: You can attach 1 "Super Quantum" monster from your hand or field to this card as an Xyz Material.$$$$$
11646785$Super Quantal Mech Beast Aeroboros$$WIND$[Machine/xyz]$$$$$4$2200$2400$$2 Level 4 monsters$$Cannot attack unless it has Xyz Material. Once per turn: You can detach 1 Xyz Material from this card, then target 1 other face-up monster on the field; change it to face-down Defense Position. This effect can be activated during either player's turn, if this card has "Super Quantum Green Layer" as Xyz Material. Once per turn: You can attach 1 "Super Quantum" monster from your hand or field to this card as an Xyz Material.$$$$$
57031794$Super Quantal Mech Beast Magnaliger$$FIRE$[Machine/xyz]$$$$$5$2600$2000$$2 Level 5 monsters$$Cannot attack unless it has material. Once per turn: You can detach 1 material from this card, then target 1 monster on the field; destroy it. This is a Quick Effect if this card has "Super Quantum Red Layer" as material. Once per turn: You can attach 1 "Super Quantum" monster from your hand or field to this card as material.$$$$$
84025439$Super Quantal Mech King Great Magnus$$LIGHT$[Machine/xyz]$$$$$12$3600$3200$$3 Level 12 monsters$$If this card is sent to the GY: You can Special Summon 3 "Super Quantal Mech Beast" Xyz Monsters with different names from your GY. This card gains these effects, based on the number of materials with different names attached to it. ● 2+: Once per turn, during the Main Phase (Quick Effect): You can detach 1 material from this card; shuffle 1 card on the field into the Deck. ● 4+: It is unaffected by card effects, except "Super Quant" cards. ● 6+: Your opponent cannot add cards from the Deck to the hand by card effects.$$$$$
10424147$Super Quantal Mech Ship Magnacarrier$$SPELL$$$$$$$$$Field$$$Discard 1 card, then target 1 "Super Quantum" monster you control; Special Summon from your Extra Deck, 1 "Super Quantal Mech Beast" Xyz Monster with the same Attribute as that monster you control by using it as material. (This is treated as an Xyz Summon.) You can send this card from the Field Zone to the GY, then target 3 "Super Quantal Mech Beast" Xyz Monsters with different names you control and/or in your GY; Special Summon 1 "Super Quantal Mech King Great Magnus" from your Extra Deck, and if you do, attach the targeted monsters and their materials to it as material.$$$$$
47819246$Super Quantal Mech Sword - Magnaslayer$$TRAP$$$$$$$$$Normal$$$Target 1 "Super Quant" Xyz Monster you control; equip this card to it. It gains ATK equal to its Rank x 100, also if it attacks a Defense Position monster, inflict piercing battle damage to your opponent. During your Battle Phase: You can send this Equip Card to the Graveyard; the monster that was equipped with this card can make 3 attacks during each Battle Phase this turn.$$$$$
28637168$Crane Crane$$EARTH$[Winged Beast/effect]$$$$$3$300$900$$$$When this card is Normal Summoned: You can target 1 Level 3 monster in your GY; Special Summon that target, but it has its effects negated. You can only use this effect of "Crane Crane" once per turn.$$$$$
56585883$Harpie Harpist$$WIND$[Winged Beast/effect]$$$$$4$1700$600$$This card's name becomes "Harpie Lady" while it is on the field or in the Graveyard. You can only use each of these effects of "Harpie Harpist" once per turn.$$● When this card is Normal Summoned: You can target 1 Winged Beast-Type monster you control (other than this card) and 1 face-up monster your opponent controls; return them to the hand.$$$$$
71594310$Gem-Knight Pearl$$EARTH$[Rock/xyz]$$$$$4$2600$1900$$$$2 Level 4 monsters$$$$$
12014404$Gagaga Cowboy$$EARTH$[Warrior/xyz]$$$$$4$1500$2400$$2 Level 4 monsters$$Once per turn: You can detach 1 Xyz Material from this card; apply this effect, depending on this card's current battle position.$$$$$
31563350$Zubaba General$$EARTH$[Warrior/xyz]$$$$$4$2000$1000$$2 Level 4 monsters$$Once per turn: You can detach 1 Xyz Material from this card; equip 1 Warrior-Type monster from your hand to this card. This card gains ATK equal to the combined ATK of the monsters equipped to it by this effect.$$$$$
76067258$Number 66: Master Key Beetle$$DARK$[Insect/xyz]$$$$$4$2500$800$$2 Level 4 DARK monsters$$Once per turn: You can detach 1 Xyz Material from this card, then target 1 card you control, except this card; while this card is face-up on the field, that card(s) cannot be destroyed by card effects. If this face-up card on the field would be destroyed, you can send one of its targets to the Graveyard instead.$$$$$
75367227$Ghostrick Alucard$$DARK$[Zombie/xyz]$$$$$3$1800$1600$$2 Level 3 monsters$$Monsters your opponent controls cannot target face-up "Ghostrick" monsters, or any face-down Defense Position monsters, for attacks, except this one. You can detach 1 Xyz Material from this card, then target 1 Set card your opponent controls; destroy that target. You can only use this effect of "Ghostrick Alucard" once per turn. If this card is sent to the Graveyard: You can target 1 other "Ghostrick" card in your Graveyard; add that target to your hand.$$$$$
