Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
66970002$Number C39: Utopia Ray V$$LIGHT$[Warrior/xyz]$$$$$5$2600$2000$$3 Level 5 monsters$$When this card in its owner's possession is destroyed by an opponent's card (either by battle or by card effect): You can target 1 Xyz Monster in your Graveyard; return that target to the Extra Deck. If this card has a "Utopia" monster as an Xyz Material, it gains this effect.$$$$$
92365601$Rank-Up-Magic Limited Barian's Force$$SPELL$$$$$$$$$Normal$$$Target 1 Rank 4 Xyz Monster you control; Special Summon from your Extra Deck, 1 "Number C" monster that is 1 Rank higher than that monster you control, by using it as the Xyz Material. (This Special Summon is treated as an Xyz Summon. Xyz Materials attached to that target also become Xyz Materials on the Summoned monster.)$$$$$
29353756$ZW - Eagle Claw$$WIND$[Winged Beast/effect]$$$$$5$2000$1200$$$$If your opponent's Life Points are at least 2000 higher than yours, you can Special Summon this card (from your hand). You can target 1 "Utopia" monster you control; equip this monster on the field to that target. It gains 2000 ATK. Once per turn, while this card is equipped to a monster, when a Trap Card or Trap effect that was activated on your opponent's side of the field resolves, negate the effects of that card. You can only control 1 "ZW - Eagle Claw".$$$$$
65758454$Ganbara Lancer$$LIGHT$[Warrior/effect]$$$$$5$1000$2000$$$$When this card is Normal Summoned: You can Special Summon 1 "Ganbara Lancer" from your hand or Graveyard in face-up Defense Position.$$$$$
92142169$Bite Bug$$EARTH$[Insect/effect]$$$$$3$300$1000$$$$If your opponent controls a face-up Xyz Monster, you can Special Summon this card (from your hand). When you do: Target 1 monster your opponent controls; that monster loses 300 ATK.$$$$$
28637168$Crane Crane$$EARTH$[Winged Beast/effect]$$$$$3$300$900$$$$When this card is Normal Summoned: You can target 1 Level 3 monster in your GY; Special Summon that target, but it has its effects negated. You can only use this effect of "Crane Crane" once per turn.$$$$$
54635862$Gentlemander$$LIGHT$[Reptile/effect]$$$$$4$1200$1000$$$$When an opponent's monster declares an attack: You can Special Summon this card from your hand. Your opponent's monsters cannot attack any monsters, except this one.$$$$$
47506081$Grenosaurus$$FIRE$[Dinosaur/xyz]$$$$$3$2000$1900$$2 Level 3 monsters$$When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can detach 1 Xyz Material from this card; inflict 1000 damage to your opponent.$$$$$
81330115$Number 30: Acid Golem of Destruction$$WATER$[Rock/xyz]$$$$$3$3000$3000$$2 Level 3 monsters$$During your Standby Phase: Detach 1 Xyz Material from this card or take 2000 damage. You cannot Special Summon any monsters. While this card has no Xyz Materials, it cannot attack.$$$$$
97170107$Shining Elf$$WIND$[Spellcaster/xyz]$$$$$2$1600$1000$$2 Level 2 monsters$$When your opponent Normal or Special Summons a monster(s) (except during the Damage Step): You can detach 1 Xyz Material from this card; that monster(s) loses 500 ATK.$$$$$
9161357$Number 6: Chronomaly Atlandis$$LIGHT$[Machine/xyz]$$$$$6$2600$3000$$2 Level 6 monsters$$When this card is Xyz Summoned: You can target 1 "Number" monster in your Graveyard; equip that target to this card. This card gains ATK equal to half the ATK of that equipped monster. Once per turn: You can detach 1 Xyz Material from this card, then send the monster equipped by this effect to the Graveyard; halve your opponent's Life Points. You cannot conduct your Battle Phase the turn you activate this effect.$$$$$
5318639$Mystical Space Typhoon$$SPELL$$$$$$$$$Quick-Play$$$Target 1 Spell/Trap on the field; destroy that target.$$$$$
72302403$Swords of Revealing Light$$SPELL$$$$$$$$$Normal$$$After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.$$$$$
44095762$Mirror Force$$TRAP$$$$$$$$$Normal$$$When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.$$$$$
62279055$Magic Cylinder$$TRAP$$$$$$$$$Normal$$$When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict damage to your opponent equal to its ATK.$$$$$
